Date,Automobile and Auto Components,Capital Goods,Chemicals,Construction,Construction Materials,Consumer Durables,Consumer Services,Diversified,Fast Moving Consumer Goods,Financial Services,Forest Materials,Healthcare,Information Technology,"Media, Entertainment & Publication",Metals & Mining,"Oil, Gas & Consumable Fuels",Power,Realty,Services,Telecommunication,Textiles,Utilities,Sovereign,Others,Grand Total
2022-04-30,221576,97186,102913,57832,79797,182883,110503,1608,277854,1423537,1229,226067,591906,22075,162166,588240,237667,57853,74645,115643,21635,413,0,11227,4666454
2022-05-15,206363,87430,92336,51600,71862,163339,90377,1399,267224,1305823,1060,204237,555811,20283,134477,522715,204696,49873,64993,105874,19201,346,0,10152,4231472
2022-05-31,228813,94510,97732,54644,70495,160593,102462,1469,278116,1394240,1191,206172,545067,21250,134022,555923,199855,52991,72431,108740,20479,372,0,10425,4411991
2022-06-15,220158,92798,91631,51817,63271,147510,94901,1481,258961,1285636,1181,198030,509373,19451,123414,545683,187532,50316,69091,103657,18647,333,0,15736,4150609
2022-06-30,229758,92721,87412,50669,63013,143724,90969,1546,265865,1284931,1195,195204,510308,18994,114936,538924,195851,49682,65848,102684,17992,336,0,9470,4132029
2022-07-15,242393,96913,92251,54893,65525,156558,97688,1582,295155,1335966,1214,202246,483542,20012,119349,512787,212955,54132,71151,100453,19126,347,0,10412,4246649
2022-07-31,246894,104987,99210,59317,71951,167725,103088,1609,303776,1442606,1330,208520,523255,22028,134069,537275,223753,57943,74405,107869,20812,362,0,9674,4522458
2022-08-15,256873,112090,105521,61511,73835,174196,112456,1608,306271,1499934,1534,210790,539161,22007,145083,563771,240660,56602,76271,110564,21007,375,0,9782,4701902
2022-08-31,265918,117775,107663,64691,75929,179276,116387,1658,317335,1519470,1666,219816,511536,22254,150326,572737,263278,59419,79154,115523,21706,393,0,10187,4794095
2022-09-15,272961,116994,111864,66317,83037,181028,121602,1680,319797,1549879,1758,222421,493146,23545,161649,553669,266904,59695,85936,124057,21421,414,0,11983,4851755
2022-09-30,259928,119411,102551,62874,76470,177295,119028,1704,323204,1459322,1639,225618,475769,21646,147022,514343,234233,53138,77695,126434,21441,360,0,11168,4612296
2022-10-15,253196,119747,102842,65286,74680,172116,115850,1645,311122,1472197,1697,225965,491465,22097,142734,506554,222601,52259,74764,121931,21778,361,0,11053,4583941
